Date,Stars
2023-06-02,482
2023-06-03,482
2023-06-04,482
2023-06-05,482
2023-06-06,482
2023-06-07,482
2023-06-08,482
2023-06-09,482
2023-06-10,482
2023-06-11,482
2023-06-12,482
2023-06-13,482
2023-06-14,482
2023-06-15,482
2023-06-16,482
2023-06-17,482
2023-06-18,482
2023-06-19,482
2023-06-20,482
2023-06-21,484
2023-06-22,484
2023-06-23,484
2023-06-24,484
2023-06-25,484
2023-06-26,484
2023-06-27,483
2023-06-28,484
2023-06-29,484
2023-06-30,484
2023-07-01,484
2023-07-02,484
2023-07-03,484
2023-07-04,484
2023-07-05,484
2023-07-06,484
2023-07-07,484
2023-07-08,484
2023-07-09,484
2023-07-10,486
2023-07-11,486
2023-07-12,486
2023-07-13,486
2023-07-14,486
2023-07-15,486
2023-07-16,486
2023-07-17,486
2023-07-18,487
2023-07-19,487
2023-07-20,487
2023-07-21,487
2023-07-22,487
2023-07-23,487
2023-07-24,487
2023-07-25,487
2023-07-26,487
2023-07-27,487
2023-07-28,487
2023-07-29,487
2023-07-30,487
2023-07-31,487
2023-08-01,487
2023-08-02,487
2023-08-03,486
2023-08-04,486
2023-08-05,486
2023-08-06,486
2023-08-07,486
2023-08-08,486
2023-08-09,486
2023-08-10,486
2023-08-11,486
2023-08-12,486
2023-08-13,486
2023-08-14,486
2023-08-15,486
2023-08-16,486
2023-08-17,486
2023-08-18,486
2023-08-19,487
2023-08-20,487
2023-08-21,487
2023-08-22,487
2023-08-23,487
2023-08-24,487
2023-08-25,487
2023-08-26,487
2023-08-27,487
2023-08-28,487
2023-08-29,487
2023-08-30,487
2023-08-31,487
2023-09-01,487
2023-09-02,487
2023-09-03,487
2023-09-04,487
2023-09-05,487
2023-09-06,487
2023-09-07,487
2023-09-08,487
2023-09-09,487
2023-09-10,487
2023-09-11,487
2023-09-12,487
2023-09-13,487
2023-09-14,487
2023-09-15,487
2023-09-16,487
2023-09-17,487
2023-09-18,487
2023-09-19,487
2023-09-20,487
2023-09-21,487
2023-09-22,488
2023-09-23,488
2023-09-24,488
2023-09-25,488
2023-09-26,488
2023-09-27,488
2023-09-28,488
2023-09-29,488
2023-09-30,488
2023-10-01,488
2023-10-02,488
2023-10-03,488
2023-10-04,488
2023-10-05,488
2023-10-06,488
2023-10-07,488
2023-10-08,488
2023-10-09,488
2023-10-10,488
2023-10-11,489
2023-10-12,489
2023-10-13,489
2023-10-14,489
2023-10-15,489
2023-10-16,489
2023-10-17,489
2023-10-18,489
2023-10-19,491
2023-10-20,491
2023-10-21,491
2023-10-22,491
2023-10-23,491
2023-10-24,491
2023-10-25,491
2023-10-26,491
2023-10-27,491
2023-10-28,491
2023-10-29,491
2023-10-30,491
2023-10-31,491
2023-11-01,491
2023-11-02,491
2023-11-03,491
2023-11-04,491
2023-11-05,491
2023-11-06,491
2023-11-07,491
2023-11-08,491
2023-11-09,491
2023-11-10,491
2023-11-11,491
2023-11-12,491
2023-11-13,491
2023-11-14,491
2023-11-15,491
2023-11-16,491
2023-11-17,491
2023-11-18,491
2023-11-19,491
2023-11-20,491
2023-11-21,492
2023-11-22,492
2023-11-23,492
2023-11-24,492
2023-11-25,492
2023-11-26,492
2023-11-27,492
2023-11-28,492
2023-11-29,492
2023-11-30,492
2023-12-01,492
2023-12-02,492
2023-12-03,493
2023-12-04,493
2023-12-05,493
2023-12-06,493
2023-12-07,493
2023-12-08,493
2023-12-09,493
2023-12-10,493
2023-12-11,493
2023-12-12,493
2023-12-13,493
2023-12-14,493
2023-12-15,493
2023-12-16,493
2023-12-17,493
2023-12-18,493
2023-12-19,493
2023-12-20,493
2023-12-21,494
2023-12-22,494
2023-12-23,494
2023-12-24,495
2023-12-25,496
2023-12-26,496
2023-12-27,496
2023-12-28,496
2023-12-29,496
2023-12-30,496
2023-12-31,496
2024-01-01,496
2024-01-02,496
